api_name;web_name;benthos_import;script_name;not_null;remark;analysis_name;config;sample_property;type
calculatedunit;Eenheid_Berekend;TRUE;Eenheid_Berekend;TRUE;;;;FALSE;object
calculatedvalue;Waarde_Berekend;TRUE;Waarde_Berekend;TRUE;;;;FALSE;float64
changedate;;FALSE;;;;;;FALSE;object
collectiondate;Collectie_DatumTijd;TRUE;Collectie_DatumTijd;TRUE;;Collectie_DatumTijd;FALSE;TRUE;object
compartment;Compartiment_Code;TRUE;Compartiment_Code;TRUE;;Compartiment_Code;FALSE;FALSE;object
limitsymbol;Limiet_Symbool;TRUE;Limiet_Symbool;FALSE;;;;FALSE;object
measuredunit;Eenheid_Gemeten;FALSE;;;;;;FALSE;object
measuredvalue;Waarde_Gemeten;FALSE;;;;;;FALSE;float64
measurementdate;Meting_DatumTijd;FALSE;;;;;;FALSE;object
measurementobject;Meetobject_Code;TRUE;Meetobject_Code;TRUE;;Meetobject_Code;FALSE;TRUE;object
measurementobjectname;;FALSE;;;;;;TRUE;object
measurementpackage;Meetpakket_Code;TRUE;Meetpakket_Code;TRUE;;;;FALSE;object
measurementpurpose;Doelstelling_Code;FALSE;;;;;;FALSE;object
organisation;Organisatie_Codes;FALSE;;;;;;TRUE;object
parameter;Parameter_Specificatie;TRUE;Parameter_Specificatie;FALSE;;;;FALSE;object
parametertype;Parameter_Type;FALSE;;;;;;FALSE;object
projects;Project_Code;TRUE;Project_Code;TRUE;;Project_Code;FALSE;TRUE;object
analysiscontext;Verrichting_Methoden;TRUE;Verrichting_Methoden;FALSE;;;;FALSE;object
samplingcontext;Verrichting_Methoden;FALSE;;;;;;FALSE;object
quantity;Grootheid_Code;TRUE;Grootheid_Code;TRUE;;;;FALSE;object
status;Status_Code;FALSE;;;;;;FALSE;integer
taxontype;;FALSE;;;better to depend on TWN as primary source;;;FALSE;object
taxongroup;;FALSE;;;better to depend on TWN as primary source;;;FALSE;object
externalreference;Collectie_Referentie;TRUE;Collectie_Referentie;TRUE;;Collectie_Referentie;FALSE;TRUE;object
